Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution,Heating Load,Binary Classes,Multi-Classes
0.98,514.5,294.0,110.25,7.0,2,0.0,0,15.55,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,3,0.0,0,15.55,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,4,0.0,0,15.55,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,5,0.0,0,15.55,Low Level,Level 2
0.9,563.5,318.5,122.5,7.0,2,0.0,0,20.84,Low Level,Level 2
0.9,563.5,318.5,122.5,7.0,3,0.0,0,21.46,Low Level,Level 2
0.9,563.5,318.5,122.5,7.0,4,0.0,0,20.71,Low Level,Level 2
0.9,563.5,318.5,122.5,7.0,5,0.0,0,19.68,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,2,0.0,0,19.5,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,3,0.0,0,19.95,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,4,0.0,0,19.34,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,5,0.0,0,18.31,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,2,0.0,0,17.05,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,3,0.0,0,17.41,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,4,0.0,0,16.95,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,5,0.0,0,15.98,Low Level,Level 2
0.79,637.0,343.0,147.0,7.0,2,0.0,0,28.52,Low Level,Level 3
0.79,637.0,343.0,147.0,7.0,3,0.0,0,29.9,Low Level,Level 3
0.79,637.0,343.0,147.0,7.0,4,0.0,0,29.63,Low Level,Level 3
0.79,637.0,343.0,147.0,7.0,5,0.0,0,28.75,Low Level,Level 3
0.76,661.5,416.5,122.5,7.0,2,0.0,0,24.77,Low Level,Level 2
0.76,661.5,416.5,122.5,7.0,3,0.0,0,23.93,Low Level,Level 2
0.76,661.5,416.5,122.5,7.0,4,0.0,0,24.77,Low Level,Level 2
0.76,661.5,416.5,122.5,7.0,5,0.0,0,23.93,Low Level,Level 2
0.74,686.0,245.0,220.5,3.5,2,0.0,0,6.07,Low Level,Level 1
0.74,686.0,245.0,220.5,3.5,3,0.0,0,6.05,Low Level,Level 1
