X Coordinate,Y Coordinate,Measured Depth (m),Deviation (True/False),Surface-Casing Weight (kg/m),Production-Casing Size (mm),Production-Casing Weight (kg/m),Bore. Temp. (degC),Prod. Formation,Porosity (fraction),Permeability (darcy),OIL Prod. (e3m3/month)
352.6,372.0,2145.8,False.,,114.3,,53.0,Shale-Sand,0.133,2.27,20.85
435.7,551.0,1638.0,True.,25.3,114.3,17.3,,Shale-Sand,0.102,1.67,40.23
346.7,311.0,3809.0,True.,41.7,114.3,17.3,,Shale-Sand,0.107,1.36,8.61
254.6,727.0,2335.0,True.,53.6,,,32.0,Shale-Sand,0.049,3.56,9.52
127.5,1125.0,1560.6,False.,,177.8,,63.0,Shale-Sand,0.232,4.99,66.69
636.9,462.0,713.0,True.,48.1,177.8,25.3,27.0,Shale-Sand,0.195,1.58,30.53
556.2,441.0,761.0,False.,35.7,139.7,20.8,28.0,Shale,0.0,0.63,0.43
366.2,385.0,1801.0,False.,35.7,139.7,25.3,52.0,Shale-Sand,0.107,1.17,1.69
640.6,392.0,854.0,False.,,139.7,,31.0,Shale-Sand,0.153,3.51,29.27
348.5,450.0,1097.3,False.,,114.3,,39.0,Shale-Sand,0.112,1.76,6.77
591.4,604.0,487.0,False.,48.1,177.8,25.3,21.0,Shale-Sand,0.194,2.69,54.87
512.6,122.0,1377.0,False.,35.7,139.7,20.8,34.0,Shale-Sand,0.094,2.53,69.51
102.1,712.0,2750.0,True.,35.7,139.7,25.3,80.0,Shale-Sand,0.161,6.95,80.83
339.5,466.0,2622.0,True.,48.0,,,,Shale-Sand,0.113,1.05,4.8
448.5,541.0,959.5,False.,,177.8,,,Shale-Sand,0.179,4.17,38.99
396.8,492.0,1622.5,False.,,177.8,,52.0,Shale-Sand,0.194,2.15,9.93
351.2,704.0,1661.2,False.,,177.8,,54.0,Shale-Sand,0.106,2.08,16.69
593.5,531.0,645.3,True.,,177.8,,,Shale-Sand,0.27,14.59,114.44
211.2,730.0,2410.0,True.,53.6,139.7,25.3,73.0,Shale-Sand,0.159,1.78,16.24
67.3,865.0,1134.0,False.,35.7,139.7,25.3,25.0,Shale-Sand,0.119,1.31,24.33
312.4,471.0,1537.0,True.,41.6,139.7,23.1,,Shale-Sand,0.031,1.15,2.85
593.5,465.0,684.0,False.,48.1,177.8,29.8,29.0,Shale-Sand,0.131,3.73,31.5
587.5,514.0,781.0,True.,48.1,177.8,34.2,27.0,Shale,0.035,0.25,0.58
463.7,238.0,1515.0,False.,,114.3,,41.0,Shale-Sand,0.056,1.23,7.62
160.4,790.0,1890.0,True.,53.6,139.7,25.3,56.0,Shale-Sand,0.173,9.91,40.17
607.7,458.0,689.3,False.,,177.8,,27.0,Shale-Sand,0.117,1.38,23.74
518.2,63.0,1028.0,False.,35.7,139.7,20.8,33.0,Shale-Sand,0.168,3.01,63.44
390.5,467.0,1890.4,False.,,177.8,,56.0,Shale-Sand,0.182,5.54,43.77
340.3,466.0,1000.0,True.,,88.9,,35.0,Shale-Sand,0.25,18.35,272.12
508.7,45.0,917.8,False.,,177.8,,,Shale-Sand,0.184,2.02,45.65
637.8,256.0,908.0,True.,35.7,139.7,20.8,27.0,Shale-Sand,0.237,2.8,114.29
556.4,447.0,802.0,True.,35.7,139.7,20.8,28.0,Shale-Sand,0.157,1.96,13.78
613.4,529.0,763.0,True.,48.1,177.8,34.2,27.0,Shale-Sand,0.187,5.02,81.92
399.8,506.0,1585.0,False.,,,,55.0,Shale-Sand,0.195,12.35,94.91
